연번,시도,시군구,주소,"운영시간
(A: 외래진료,
B: 외래진료 및 입원)"
72,경기,의왕시,아름채노인복지관 주변공터 (고천동 103-1번지),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
73,경기, 하남시,하남시보건소 주차장 (하남시 대청로 10),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
74,경기, 하남시,미사보건센터 주차장 (하남시 미사강변대로 200),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
75,경기,용인시 수지구,용인포은아트홀 (용인시 수지구 포은대로499),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~14:00
76,경기,용인시 수지구,수지구청 광장 (용인시 수지구 포은대로 435),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~14:00
77,경기,용인시 처인구,용인시청 청사 주변 (용인시 처인구 중부대로 1199),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
78,경기,용인시 기흥구,동백2동 행정복지센터 옆 (용인시 기흥구 중동 866번지),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
79,경기,파주시,공원관리사업소 주차장 (경의로 1180),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
80,경기,파주시,문산행복센터 주차장 임시선별검사소 (파주시 문산읍 통일로 1680) ,(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
81,경기,이천시,이천남부치매안심센터 (장호원읍 서동대로8809번길30-15),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
82,경기,이천시,마장건강생활지원센터 (마장면 오천리 60),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
83,경기,안성시,공도건강생활지원센터 (경기도 안성시 공도읍 공도로 51-11),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~13:00
84,경기,김포시,김포공설운동장 (김포시 돌문로 15번길 36-10),(평일&토) 09:00~17:00 일요일 휴무
85,경기,김포시,마산동생활체육관 앞 (김포시 김포한강8로 198-3),(평일&토) 09:00~17:00 일요일 휴무
86,경기,화성시,병점역 공영주차장 (병점동 391-2),(평일) 10:00~17:00 (주말) 10:00~13:00 * 점심시간 12:00~13:00
87,경기,화성시,화성종합경기타운 주차장 (향남읍 도이리 668),(평일) 10:00~17:00 (주말) 10:00~13:00 (점심시간) 12:00~13:00
88,경기,화성시,동탄보건지소 주차장 (노작로 226-9),(평일) 10:00~17:00 (주말) 10:00~13:00 (점심시간) 12:00~13:00
89,경기,광주시,광주시보건소 앞 (광주시 파발로 194),(평일) 09:00~17:00 (주말) 09:00~13:00 (점심시간) 12:00~13:00
90,경기,광주시,광주시민체육관 (광주시 오포읍 청석로 85),(평일) 09:00~17:00 (주말) 09:00~13:00 (점심시간) 12:00~13:00
91,경기,양주시,양주 유양 (양주시 유양동 83번지),(평일) 09:00~17:00 (점심시간) 12:00~13:30 (토요일) 09:00~13:00
92,경기,포천시,포천 종합운동장 (포천시 군내면 호국로 1518),(평일) 09:30~17:00 (주말) 09:30~13:00 (점심시간) 12:00~13:30
93,경기,여주시,가남읍 전천교 주차장 (여주시 가남면 심석리),(평일) 10:00~17:00 (점심시간) 12:00~13:00 (주말) 10:00~15:00
